Timestamp,RequestID,LogStream,DurationInMS,BilledDurationInMS,MemorySetInMB,MemoryUsedInMB
2022-12-25 16:59:21.428,6987cbcc-f1fa-526e-be8a-97ee7252e5f2,2022/12/25/[$LATEST]efc843ea92d54494b30f8e88a79c96d9,820.26,821.0,128,82
2022-12-25 16:59:21.371,a5b6c6e4-d991-5af5-857a-9ac65a39444a,2022/12/25/[$LATEST]14f7fc1e06df44269caa414d51b280f0,839.37,840.0,128,82
2022-12-25 16:59:21.347,0476ade1-b283-5924-bcaf-f1c3312bbc98,2022/12/25/[$LATEST]8520b1ce6b794cb99fb6a3163b14124f,829.29,830.0,128,83
2022-12-25 16:59:21.245,afea9a75-5a2f-59a5-8886-c657d9877c19,2022/12/25/[$LATEST]151cb5e0a63043b4ad4f64296b7a02fe,800.28,801.0,128,83
2022-12-25 16:59:21.154,38a94d71-171e-592a-9708-115394b67c96,2022/12/25/[$LATEST]88aafffcaa04449cb6bc7367398d7a4d,813.61,814.0,128,83
2022-12-25 16:59:20.876,ec17cede-6701-5436-9926-92fce4a6a18a,2022/12/25/[$LATEST]74aab8a145554abca0f5dac68a42353a,851.48,852.0,128,82
2022-12-25 16:59:20.774,886eb0d7-7190-5346-bdeb-ecf5f23729fc,2022/12/25/[$LATEST]4929ba7e55954da981e74fe42d505121,858.22,859.0,128,83
2022-12-25 16:59:20.768,7e16f0fb-a693-56a3-a9eb-acd92534713f,2022/12/25/[$LATEST]4d38d68d9b794584a5662b809cbcc740,818.24,819.0,128,83
2022-12-25 16:59:20.714,8d50622f-f514-5c62-bc26-3e0d76b32714,2022/12/25/[$LATEST]f1841165aa80419f9730f4eb927cd02e,833.21,834.0,128,83
2022-12-25 16:59:20.528,dc9930f3-b6f4-5dc6-9061-6cd13553177c,2022/12/25/[$LATEST]efc843ea92d54494b30f8e88a79c96d9,810.03,811.0,128,82
2022-12-25 16:59:20.487,2dc1ec38-c79f-55a0-9695-b01a4438e01c,2022/12/25/[$LATEST]8520b1ce6b794cb99fb6a3163b14124f,863.46,864.0,128,83
2022-12-25 16:59:20.425,ff403a3b-79d8-5e4c-be2d-6619fa7ff0f3,2022/12/25/[$LATEST]151cb5e0a63043b4ad4f64296b7a02fe,849.6,850.0,128,83
2022-12-25 16:59:20.371,adf5e405-2845-5373-bf93-b827abe296cf,2022/12/25/[$LATEST]14f7fc1e06df44269caa414d51b280f0,841.2,842.0,128,82
2022-12-25 16:59:20.274,6883b3d6-a6ce-5f8e-9285-eff425694812,2022/12/25/[$LATEST]88aafffcaa04449cb6bc7367398d7a4d,844.9,845.0,128,83
2022-12-25 16:59:20.268,71b0890a-dfba-57c0-a50b-d5285c1d227c,2022/12/25/[$LATEST]5f7be210e06942c79f1f1c7cf649f603,851.32,852.0,128,83
2022-12-25 16:59:19.956,af930ff6-1596-5cf5-9a8d-53d496319949,2022/12/25/[$LATEST]74aab8a145554abca0f5dac68a42353a,770.76,771.0,128,82
2022-12-25 16:59:19.894,56fc8702-0fbb-50d4-bf55-db208c1dba6e,2022/12/25/[$LATEST]4929ba7e55954da981e74fe42d505121,829.94,830.0,128,83
2022-12-25 16:59:19.874,5724940c-63f9-562c-b470-c82ee05e31b0,2022/12/25/[$LATEST]f1841165aa80419f9730f4eb927cd02e,831.96,832.0,128,83
2022-12-25 16:59:19.808,7efcd4fa-fe98-5f47-8525-88d87d3e6d5d,2022/12/25/[$LATEST]4d38d68d9b794584a5662b809cbcc740,829.13,830.0,128,83
2022-12-25 16:59:19.668,8a1322ab-017c-577c-82fd-7e8982daa566,2022/12/25/[$LATEST]efc843ea92d54494b30f8e88a79c96d9,774.16,775.0,128,82
2022-12-25 16:59:19.607,9f85f634-2d52-5162-9021-aa16aef40378,2022/12/25/[$LATEST]8520b1ce6b794cb99fb6a3163b14124f,835.79,836.0,128,83
2022-12-25 16:59:19.471,62f0bfe3-d256-518b-9daa-e3c151f0f437,2022/12/25/[$LATEST]14f7fc1e06df44269caa414d51b280f0,1150.21,1151.0,128,82
2022-12-25 16:59:19.445,e786c230-5afd-50b2-9078-9e12d95b4e0d,2022/12/25/[$LATEST]151cb5e0a63043b4ad4f64296b7a02fe,816.41,817.0,128,83
2022-12-25 16:59:19.408,f0259139-f474-5a7e-ae1f-cd1b77d250c4,2022/12/25/[$LATEST]5f7be210e06942c79f1f1c7cf649f603,843.45,844.0,128,83
2022-12-25 16:59:19.254,9e3653b0-497a-59f1-9e3b-0f92cadc1c4d,2022/12/25/[$LATEST]88aafffcaa04449cb6bc7367398d7a4d,820.75,821.0,128,83
